T (K),h (kJ/kg),Pr,u (kJ/kg),Ur (kJ/kg),so (kJ/kg·K)
200,199.97,0.3363,142.56,1707.0,1.295559
210,209.97,0.3987,149.69,1512.0,1.34444
220,219.97,0.4690,156.82,1346.0,1.39105
230,230.02,0.5477,164.00,1205.0,1.43557
240,240.02,0.6355,171.13,1084.0,1.47824
250,250.05,0.7329,178.28,979.0,1.51917
260,260.09,0.8405,185.45,887.8,1.55848
270,270.11,0.9590,192.60,808.0,1.59634
280,280.13,1.0889,199.75,738.0,1.63279
285,285.14,1.1584,203.33,706.1,1.65055
290,290.16,1.2311,206.97,676.1,1.66708
295,295.17,1.3068,210.49,647.1,1.68238
298,298.18,1.3543,212.64,631.2,1.69258
300,300.19,1.3860,214.07,621.9,1.69823
305,305.22,1.4668,217.67,597.6,1.71865
310,310.24,1.5546,221.25,572.3,1.73498
315,315.27,1.6444,224.85,549.8,1.75106
320,320.29,1.7375,228.42,528.6,1.76690
325,325.31,1.8345,232.02,508.4,1.78249
330,330.34,1.9352,235.61,489.4,1.79783
340,340.42,2.149,242.82,454.1,1.82790
350,350.49,2.379,250.02,423.4,1.85570
360,360.58,2.626,257.24,394.3,1.88143
370,370.67,2.892,264.46,367.2,1.90508
380,380.77,3.176,271.69,343.4,1.94001
390,390.88,3.481,278.93,321.5,1.96633
400,400.98,3.806,286.16,301.6,1.99194
410,411.12,4.153,293.43,283.3,2.01699
420,421.26,4.522,300.69,266.6,2.04142
430,431.43,4.915,307.99,251.1,2.06533
440,441.61,5.332,315.30,236.8,2.08870
450,451.80,5.775,322.62,223.6,2.11161
460,462.02,6.245,329.97,211.4,2.13407
470,472.24,6.742,337.32,200.1,2.15604
480,482.49,7.268,344.70,189.5,2.17760
490,492.74,7.824,352.08,179.7,2.19876
500,503.02,8.411,359.49,170.6,2.21952
510,513.32,9.031,366.92,162.1,2.23993
520,523.63,9.684,374.36,154.1,2.25997
530,533.98,10.37,381.84,146.7,2.27967
540,544.35,11.10,389.34,139.7,2.29906
550,555.74,11.86,396.86,133.1,2.31809
560,565.17,12.66,404.42,127.0,2.33685
570,575.59,13.50,411.97,121.2,2.35531
580,586.04,14.38,419.55,115.7,2.37348
590,596.52,15.19,427.15,110.6,2.39140
600,607.02,16.28,434.78,105.8,2.40902
610,617.53,17.30,442.42,101.2,2.42644
620,628.07,18.36,450.09,96.92,2.44356
630,638.63,19.84,457.78,92.84,2.46048
640,649.22,20.64,465.50,88.99,2.47716
650,659.84,21.86,473.25,85.34,2.49364
660,670.47,23.13,481.01,81.89,2.50985
670,681.14,24.46,488.81,78.61,2.52589
680,691.82,25.85,496.62,75.50,2.54175
690,702.52,27.29,504.45,72.56,2.55731
700,713.27,28.80,512.33,69.76,2.57277
710,724.04,30.38,520.23,67.07,2.58810
720,734.82,32.00,528.14,64.53,2.60319
730,745.62,33.72,536.07,62.13,2.61803
740,756.44,35.50,544.02,59.82,2.63280
750,767.29,37.35,551.99,57.63,2.64737
760,778.18,39.27,560.01,55.54,2.66176
770,800.03,43.35,576.12,51.64,2.69013
780,821.95,47.75,592.30,48.08,2.71787
820,843.98,52.59,608.59,44.84,2.74504
840,866.08,57.60,624.95,41.85,2.77170
860,888.27,63.00,641.39,39.12,2.79783
880,910.56,68.98,657.95,36.61,2.82344
900,932.93,75.29,674.58,34.31,2.84856
920,955.38,82.05,691.28,32.18,2.87324
940,977.92,89.28,708.08,30.22,2.89748
960,1000.55,97.00,725.02,28.40,2.92182
980,1023.25,105.20,741.98,26.73,2.94486
1000,1046.04,114.00,758.94,25.17,2.96770
1020,1068.89,123.40,776.10,23.72,2.99034
1040,1091.85,133.30,793.36,23.29,3.01260
1060,1114.86,143.90,810.62,21.14,3.03449
1080,1137.89,155.20,827.88,19.98,3.05608
1100,1161.07,167.10,845.33,18.896,3.07732
1120,1184.28,179.70,862.79,17.886,3.09825
1140,1207.57,193.10,880.35,16.946,3.11883
1160,1230.92,207.20,897.91,16.064,3.13916
1180,1254.34,222.20,915.57,15.241,3.15916
1200,1277.79,238.00,933.33,14.470,3.17888
1220,1301.31,254.70,951.09,13.747,3.19834
1240,1324.93,272.30,968.95,13.069,3.21751
1260,1348.55,290.80,986.90,12.435,3.23638
1280,1372.24,310.40,1004.76,11.835,3.25510
1300,1395.97,330.90,1022.82,11.275,3.27345
1320,1419.76,352.50,1040.88,10.747,3.29153
1340,1443.60,375.30,1058.94,10.247,3.30959
